爾	尔	ěr	thus/so/like that/you/thou
塔什庫爾干塔吉克自治縣	塔什库尔干塔吉克自治县	Tǎ shí kù ěr gān Tǎ jí kè Zì zhì xiàn	Taxkorgan Tajik autonomous county (Tashqurqan Tajik aptonom nahiyisi) in Kashgar prefecture 喀什地區|喀什地区[Kā shí dì qū], west Xinjiang
塔什庫爾干自治縣	塔什库尔干自治县	Tǎ shí kù ěr gān Zì zhì xiàn	Taxkorgan Tajik autonomous county (Tashqurqan Tajik aptonom nahiyisi) in Kashgar prefecture 喀什地區|喀什地区[Kā shí dì qū], west Xinjiang
塔什庫爾干鄉	塔什库尔干乡	Tǎ shí kù ěr gān xiāng	Taxkorgan township in Kashgar prefecture 喀什地區|喀什地区[Kā shí dì qū], west Xinjiang
塔塔爾	塔塔尔	Tǎ tǎ ěr	Tatar ethnic group of Xinjiang
塔塔爾族	塔塔尔族	Tǎ tǎ ěr zú	Tatar ethnic group of Xinjiang
塔爾寺	塔尔寺	Tǎ ěr sì	Kumbum (Chinese Ta'er), monastery in Qinhai, formerly Amdo province of Tibet
塔瑪爾	塔玛尔	Tǎ mǎ ěr	Tamar (name)
塞內加爾	塞内加尔	Sài nèi jiā ěr	Senegal
塞席爾	塞席尔	Sè xí ěr	the Seychelles (Tw)
塞爾南	塞尔南	Sài ěr nán	Eugene Cernan (1934-), US astronaut in Apollo 10 and Apollo 17 missions, "last man on the moon"
塞爾特	塞尔特	Sāi ěr tè	Celtic
塞爾特語	塞尔特语	Sāi ěr tè yǔ	Celtic language
塞爾維亞	塞尔维亚	Sāi ěr wéi yà	Serbia
塞爾維亞克羅地亞語	塞尔维亚克罗地亚语	Sāi ěr wéi yà Kè luó dì yà yǔ	Serbo-Croatian (language)
塞爾維亞和黑山	塞尔维亚和黑山	Sāi ěr wéi yà hé Hēi shān	Serbia and Montenegro (after break-up of Yugoslavia in 1992)
塞爾維亞語	塞尔维亚语	Sāi ěr wéi yà yǔ	Serbian (language)
塞爾達	塞尔达	Sài ěr dá	Zelda (in Legend of Zelda video game)
塞瓦斯托波爾	塞瓦斯托波尔	Sāi wǎ sī tuō bō ěr	Sevastopol
塞繆爾	塞缪尔	Sāi miù ěr	Samuel (name)
塞繆爾·約翰遜	塞缪尔·约翰逊	Sāi miù ěr · Yuē hàn xùn	Samuel Johnson (1709-1784) or Dr Johnson, English writer and lexicographer
塞舌爾	塞舌尔	Sài shé ěr	the Seychelles
塞舌爾群島	塞舌尔群岛	Sài shé ěr Qún dǎo	the Seychelles
墨爾本	墨尔本	Mò ěr běn	Melbourne, Australia
墨爾缽	墨尔钵	Mò ěr bō	see 墨爾本|墨尔本[Mò ěr běn]
