	Pinyin	Definition	Radical	Stroke count	HSK level	General Standard#	Frequency rank
称	chēng	call; name, brand; address; say	禾 115.5	10	5	1948	449
企	qǐ	plan a project; stand on tiptoe	人 9.4	6	5	490	450
委	wěi	appoint, send, commission	女 38.5	8	5	1133	457
曾	céng	already; sign of past	曰 73.8	12	5	2747	463
农	nóng	agriculture, farming; farmer	冖 14.4	6	5	558	465
装	zhuāng	dress, clothes, attire; fill	衣 145.6	12	5	2726	467
显	xiǎn	manifest, display; evident, clear	日 72.5	9	5	1485	469
念	niàn	think of, recall, study	心 61.4	8	5	1177	477
青	qīng	blue, green, black; young	青 174.0	8	5	947	497
武	wǔ	military; martial, warlike	止 77.4	8	5	946	501
势	shì	power, force; tendency	力 19.6	8	5	977	506
古	gǔ	old, classic, ancient	口 30.2	5	5	208	509
构	gòu	frame, building, structure	木 75.4	8	5	1029	511
土	tǔ	soil, earth; items made of earth	土 32.0	3	5	27	515
投	tóu	throw, cast, fling, pitch; jump	手 64.4	7	5	643	516
某	mǒu	certain thing or person	木 75.5	9	5	1399	517
维	wéi	maintain, preserve, safeguard	糸 120.8	11	5	2492	520
革	gé	leather, animal hides; rad. 177	革 177.0	9	5	1403	521
敌	dí	enemy, foe, rival; resist	舌 135.4	10	5	1942	523
致	zhì	send, deliver, present; cause	至 133.3	10	5	1879	524
派	pài	school of thought, sect, branch	水 85.6	9	5	1673	532
营	yíng	encampment, barracks; manage	艸 140.8	11	5	2214	536
巴	bā	greatly desire, anxiously hope	己 49.1	4	5	178	546
防	fáng	defend; prevent; embankment	阜 170.4	6	5	576	548
施	shī	grant, bestow; give; act; name	方 70.5	9	5	1634	553
型	xíng	pattern, model, type; law; mold	土 32.6	9	5	1363	556
依	yī	rely on, be set in; consent, obey a wish	人 9.6	8	5	1153	568
群	qún	(same as 羣) group, crowd, multitude, mob	羊 123.7	13	5	3035	570
项	xiàng	neck, nape of neck; sum; funds	頁 181.3	9	5	1370	571
织	zhī	weave, knit; organize, unite	糸 120.5	8	5	1342	578
斗	dòu	Chinese peck; liquid measure	斗 68.0	4	5	166	580
采	cǎi	collect, gather; pick, pluck	釆 165.1	8	5	1172	585
杀	shā	kill, slaughter, murder; hurt	木 75.2	6	5	487	587
朝	cháo	dynasty; morning	月 74.8	12	5	2559	593
属	shǔ	class, category, type; belong to	尸 44.9	12	5	2800	610
限	xiàn	boundary, limit, line	阜 170.6	8	5	1323	613
威	wēi	pomp, power; powerful; dominate	女 38.6	9	5	1444	622
状	zhuàng	form; appearance; shape; official	犬 94.3	7	5	828	624
率	lǜ	to lead; ratio; rate; limit	玄 95.6	11	5	2395	625
独	dú	alone, single, solitary, only	犬 94.6	9	5	1602	627
创	chuàng	establish, create; knife cut	刀 18.4	6	5	494	635
承	chéng	inherit, receive; succeed	手 64.4	8	5	1315	639
股	gǔ	thighs, haunches, rump; share	肉 130.4	8	5	1186	644
益	yì	profit, benefit; advantage	皿 108.5	10	5	2055	649
血	xuè	blood; radical number 143	血 143.0	6	5	479	658
素	sù	white (silk); plain; vegetarian; formerly; normally	糸 120.4	10	5	1775	661
夜	yè	night, dark; in night; by night	夕 36.5	8	5	1209	665
初	chū	beginning, initial, primary	刀 18.5	7	5	889	667
源	yuán	spring; source, head; surname	水 85.10	13	5	3008	670
食	shí	eat; meal; food; KangXi radical number 184	食 184.0	9	5	1589	671
待	dài	treat, entertain, receive; wait	彳 60.6	9	5	1580	673
述	shù	narrate, state, express	辵 162.5	8	5	1032	674
陆	lù	land, continental; army	阜 170.5	7	5	912	675
置	zhì	place, lay out; set aside	网 122.8	13	5	2931	677
劳	láo	labor, toil, do manual work	力 19.5	7	5	674	679
财	cái	wealth, valuables, riches	貝 154.3	7	5	756	680
纳	nà	admit, take, receive, accept	糸 120.4	7	5	934	684
雷	léi	thunder	雨 173.5	13	5	2884	686
模	mó	model, standard, pattern; copy	木 75.11	14	5	3078	689
充	chōng	fill, be full, supply	儿 10.4	6	5	525	690
木	mù	tree; wood, lumber; wooden	木 75.0	4	5	87	694
龙	lóng	dragon; symbolic of emperor	龍 212.0	5	5	221	696
冲	chōng	soar; pour boiling water over	冫 15.4	6	5	511	702
射	shè	shoot, eject, issue forth, emit	寸 41.7	10	5	1971	703
略	lüè	approximately, roughly; outline	田 102.6	11	5	2277	704
范	fàn	surname; bee-like insect	艸 140.5	8 9	5	1010	705
